Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
,1,0.983997,0.753869,1.28437,1,1
,1,0.98857,0.539738,1.81064,1,1
,1,0.998083,0.285091,3.49422,1,1
,1,0.940807,0.354691,2.49546,1,1
,1,0.988163,0.460125,2.12217,1,1
,1,0.978956,0.210316,4.55674,1,1
,1,0.975492,0.383987,2.47817,1,1
,1,0.988726,0.342858,2.85126,1,1
,1,0.971752,0.717696,1.31574,1,1
,1,0.992357,0.592491,1.66209,1,1
,1,0.989034,0.854466,1.1448,1,1
,1,0.946274,0.544264,1.64522,1,1
,1,0.981447,0.48047,2.00479,1,1
,1,0.933216,0.626267,1.39061,1,1
,1,0.89555,0.369533,2.17034,1,1
,1,0.991536,1.01118,0.972277,1,1
,1,0.983101,0.68369,1.41364,1,1
,1,0.9893,0.613875,1.59432,1,1
,1,0.992764,0.586962,1.67912,1,1
,1,0.995845,0.840437,1.17999,1,1
,1,0.876942,0.129867,5.92167,1,1
,1,0.982157,1.06469,0.906023,1,1
,1,0.994816,0.305337,3.2412,1,1
,1,0.984773,0.313896,3.08949,1,1
,1,0.970212,0.820712,1.14694,1,1
,1,0.981107,0.201848,4.76879,1,1
,1,0.935232,0.146579,5.96714,1,1
,1,0.994273,0.355567,2.78029,1,1
,1,0.965613,0.781281,1.19343,1,1
,1,0.984776,0.255859,3.79031,1,1
,1,0.985851,1.15204,0.843637,1,1
,1,0.97255,0.381781,2.47748,1,1
,1,0.953639,0.397573,2.28745,1,1
,1,0.855499,0.089209,8.20409,1,1
,1,0.899216,0.187528,4.31183,1,1
,1,0.990486,0.204943,4.787,1,1
,1,0.996186,0.357474,2.77611,1,1
,1,0.994208,0.243688,4.05621,1,1
,1,0.995125,0.561174,1.76464,1,1
,1,0.992906,0.218662,4.50862,1,1
,1,0.984666,0.288775,3.35751,1,1
,1,0.99923,0.171737,5.81391,1,1
,1,0.928128,0.0738859,11.6588,1,1
,1,0.997681,0.144378,6.89418,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_008.nd2,1,0.995189,0.252743,3.91862,1,1
,1,0.975418,0.387516,2.45523,1,1
,1,0.968337,0.545696,1.71831,1,1
,1,0.984781,0.482943,2.00809,1,1
,1,0.991157,1.06278,0.92436,1,1
,1,0.9716,0.468788,2.01372,1,1
,1,0.997823,0.285223,3.49078,1,1
,1,0.966607,0.533611,1.75095,1,1
,1,0.962833,0.543819,1.7047,1,1
,1,0.986318,0.834182,1.1662,1,1
,1,0.98654,0.55613,1.75006,1,1
,1,0.974671,0.410599,2.31365,1,1
,1,0.988757,0.21994,4.44504,1,1
,1,0.999855,0.257406,3.88378,1,1
,1,0.994169,0.259385,3.81044,1,1
,1,0.995909,0.328314,3.021,1,1
,1,0.982364,1.13759,0.848321,1,1
,1,1,1.14856,0.870656,1,1
,1,0.975668,0.412236,2.30918,1,1
,1,0.958465,0.215928,4.25446,1,1
,2,0.981826,0.164157,5.87234,1,1
,2,0.985784,0.375418,2.5885,1,1
,2,0.983852,0.376874,2.56841,1,1
,2,0.992823,0.20208,4.87775,1,1
,2,0.990099,0.229282,4.27551,1,1
,2,1,0.931818,1.07317,1,1
,2,0.995121,1.41109,0.701775,1,1
,2,0.999925,0.871124,1.14777,1,1
,2,0.987379,0.830453,1.17396,1,1
,2,0.937421,0.569757,1.54234,1,1
,2,0.988975,1.29395,0.755881,1,1
,2,0.987495,1.48783,0.655415,1,1
,2,0.976048,0.418156,2.27826,1,1
,2,0.993052,0.725338,1.35958,1,1
,2,0.98267,1.00617,0.959717,1,1
,2,0.988985,0.649867,1.50506,1,1
,2,0.986509,0.60284,1.61436,1,1
,2,0.862155,0.129195,5.75339,1,1
,2,0.977315,0.414327,2.30529,1,1
,2,0.867417,0.325927,2.30853,1,1
,2,0.997722,0.489196,2.03487,1,1
,2,0.963625,0.414589,2.23974,1,1
,2,0.917889,0.620294,1.35826,1,1
,2,1,1.19492,0.836879,1,1
,2,0.986646,0.326902,2.97787,1,1
,2,1,0.527458,1.89588,1,1
,2,0.960834,0.977794,0.944168,1,1
,2,0.958282,0.159587,5.75424,1,1
,2,0.942302,0.315102,2.81793,1,1
,2,0.987027,1.03359,0.942558,1,1
,2,0.969782,0.721842,1.30289,1,1
,2,0.998294,0.615017,1.62043,1,1
,2,0.920249,0.872215,0.970929,1,1
,2,0.995588,0.631251,1.57021,1,1
,2,0.999062,0.65768,1.51764,1,1
,2,0.96476,0.507381,1.83444,1,1
,2,0.990241,0.364794,2.68803,1,1
,2,0.953116,0.245664,3.69785,1,1
,2,0.994291,0.606569,1.62985,1,1
,2,0.985813,0.360414,2.69642,1,1
,2,0.989504,0.763969,1.28162,1,1
,2,0.992013,0.843635,1.16649,1,1
,2,0.981211,0.575285,1.67356,1,1
,2,0.986004,1.6515,0.588679,1,1
,2,0.987271,0.853533,1.14196,1,1
,2,0.999591,0.790992,1.2632,1,1
,2,0.993424,0.523071,1.88672,1,1
,2,0.973836,0.924519,1.02578,1,1
,2,0.974076,0.632818,1.49936,1,1
,2,0.983535,0.178845,5.40882,1,1
,2,0.978759,0.453505,2.11237,1,1
,2,0.973534,0.913464,1.03755,1,1
,2,0.988122,0.74192,1.31602,1,1
,2,0.995983,1.68153,0.58993,1,1
,2,0.983502,1.42019,0.681089,1,1
,2,0.991381,0.904018,1.08719,1,1
,3,0.998201,0.520738,1.91345,1,1
,3,1,0.297987,3.35586,1,1
,3,0.987906,0.930254,1.04913,1,1
,3,0.985361,0.494089,1.9651,1,1
,3,0.96739,0.534515,1.75083,1,1
,3,0.979355,0.538595,1.78081,1,1
,3,0.994273,0.564566,1.75104,1,1
,3,0.965189,0.841802,1.10666,1,1
,3,0.99113,0.339221,2.89586,1,1
,3,1,0.786635,1.27124,1,1
,3,0.920311,0.432677,1.95752,1,1
,3,0.989935,1.01101,0.969297,1,1
,3,0.98802,0.996722,0.979395,1,1
,3,0.996157,0.673333,1.47375,1,1
,3,0.981877,0.618088,1.55978,1,1
,3,0.979289,1.3346,0.718574,1,1
,3,0.989863,1.73187,0.565762,1,1
,3,0.989905,0.954464,1.02666,1,1
,3,0.998196,0.612292,1.62732,1,1
,3,0.970917,0.766293,1.23018,1,1
,3,0.956486,0.230817,3.96361,1,1
,3,0.992007,0.3117,3.15713,1,1
,3,0.998315,0.254653,3.91368,1,1
,3,1,0.541823,1.84562,1,1
,3,0.98498,0.984431,0.985529,1,1
,3,0.984453,0.749717,1.29269,1,1
,3,0.834753,0.74409,0.936464,1,1
,3,0.968968,1.58768,0.591367,1,1
,3,0.991869,0.540406,1.82049,1,1
,3,0.968009,1.18129,0.793233,1,1
,3,0.983617,0.737386,1.31207,1,1
,3,0.97095,2.34435,0.402135,1,1
,3,0.993338,1.98922,0.496034,1,1
,3,0.990948,0.906312,1.08349,1,1
,3,0.99234,0.582801,1.68966,1,1
,3,0.964546,0.348192,2.67194,1,1
,3,0.992982,0.410071,2.4045,1,1
,3,0.93298,0.262668,3.31389,1,1
,3,0.96641,1.13451,0.823221,1,1
,3,0.96405,0.646929,1.43662,1,1
,3,0.956629,0.989893,0.924482,1,1
,3,0.999793,0.193784,5.15826,1,1
,3,0.956957,1.0731,0.853383,1,1
,3,0.992968,0.420783,2.34321,1,1
,3,0.976595,0.469499,2.0314,1,1
,3,0.959464,1.45502,0.632685,1,1
,3,0.966802,0.635055,1.47185,1,1
,3,0.984082,0.155468,6.22904,1,1
,3,0.971931,0.268178,3.52248,1,1
,3,0.931125,0.518649,1.67164,1,1
,3,0.985288,1.81051,0.536198,1,1
,4,0.998799,0.182483,5.4668,1,1
,4,0.986994,0.244361,3.98655,1,1
,4,0.9999,1.11077,0.900097,1,1
,4,0.989991,0.301407,3.25169,1,1
,4,0.998493,0.459131,2.17147,1,1
,4,0.983582,0.250337,3.86452,1,1
,4,1,0.231293,4.32353,1,1
,4,0.98722,1.11442,0.874541,1,1
,4,1,0.228967,4.36744,1,1
,4,0.96418,0.469674,1.97934,1,1
,4,0.955974,0.362677,2.51983,1,1
,4,0.99456,1.4408,0.686529,1,1
,4,0.993995,0.550694,1.79415,1,1
,4,0.998091,0.579157,1.72006,1,1
,4,0.992196,0.366044,2.68944,1,1
,4,0.973593,1.14268,0.829524,1,1
,4,0.987342,0.986865,0.987819,1,1
,4,0.98529,0.553013,1.75547,1,1
,4,1,0.782713,1.27761,1,1
,4,0.978802,0.369005,2.59632,1,1
,4,0.976793,0.229251,4.16192,1,1
,4,0.994337,1.15367,0.857009,1,1
,4,0.986407,1.10551,0.880136,1,1
,4,0.988727,0.721848,1.35428,1,1
,4,0.978211,0.273916,3.49339,1,1
,4,0.974742,1.22047,0.778488,1,1
,4,0.933805,0.515895,1.69025,1,1
,4,0.968165,0.555214,1.68826,1,1
,4,0.995915,1.13726,0.872138,1,1
,4,0.998325,1.17483,0.848335,1,1
,4,0.989466,1.02987,0.950644,1,1
,4,0.99016,0.847567,1.15674,1,1
,4,0.989269,2.22874,0.439107,1,1
,4,0.959514,0.296323,3.10697,1,1
,4,0.979816,0.390917,2.45586,1,1
,4,0.985091,0.580172,1.67262,1,1
,4,1,0.891005,1.12233,1,1
,4,0.993236,0.328387,3.00413,1,1
,4,0.99336,0.297632,3.31539,1,1
,4,0.980005,0.396131,2.42447,1,1
,4,0.99912,0.497686,2.00576,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_009.nd2,1,0.993275,0.164081,6.01287,1,1
,1,0.996146,0.167463,5.92554,1,1
,1,0.999345,0.2561,3.89961,1,1
,1,0.998482,1.53296,0.650353,1,1
,1,1,0.494067,2.02402,1,1
,1,0.990137,0.320057,3.06312,1,1
,1,0.996223,0.23011,4.31299,1,1
,1,0.987473,1.05978,0.920102,1,1
,1,0.971813,0.428592,2.20354,1,1
,1,0.982511,0.351249,2.74827,1,1
,1,1,1.23402,0.810363,1,1
,1,0.997311,0.452016,2.20043,1,1
,1,0.99081,0.222176,4.41858,1,1
,1,1,0.478774,2.08867,1,1
,2,0.972536,0.329446,2.87096,1,1
,2,0.987495,0.189545,5.14467,1,1
,2,0.999905,0.158629,6.30283,1,1
,2,0.996579,0.318688,3.11644,1,1
,2,0.986559,0.278529,3.49442,1,1
,2,0.998835,0.298155,3.34615,1,1
,2,0.9946,0.18135,5.45482,1,1
,2,0.990143,0.28578,3.43055,1,1
,2,0.994536,0.479576,2.06245,1,1
,2,0.986519,0.248927,3.90966,1,1
,2,0.999843,0.309748,3.22741,1,1
,2,0.996042,0.216137,4.59015,1,1
,2,0.996135,0.285398,3.47684,1,1
,2,0.992492,0.287545,3.42569,1,1
,2,0.993487,0.212413,4.64668,1,1
,2,0.995062,0.295622,3.34938,1,1
,2,0.99474,0.219193,4.51433,1,1
,2,1,0.196429,5.09091,1,1
,2,1,0.249007,4.01596,1,1
,2,1,0.163735,6.10744,1,1
,2,0.996056,0.371981,2.66715,1,1
,2,0.99235,0.247776,3.97438,1,1
,2,0.989216,0.252009,3.88299,1,1
,2,0.995843,0.541199,1.83242,1,1
,2,0.995315,0.316209,3.1329,1,1
,2,0.990019,0.42874,2.28609,1,1
,2,0.992226,0.291144,3.38152,1,1
,2,0.990486,0.181161,5.41542,1,1
,2,0.995525,0.214673,4.61666,1,1
,2,0.992658,0.250743,3.9298,1,1
,2,0.997124,0.209687,4.74161,1,1
,2,0.997361,0.258685,3.84533,1,1
,2,0.992981,0.296974,3.32019,1,1
,2,0.990343,0.63834,1.53645,1,1
,2,0.98424,0.601066,1.61168,1,1
