Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_009.nd2,1,1,20,1,33
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_010.nd2,1,1,13,1,34
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_011.nd2,3,1,8,1,12
,,2,1,2,17
,,3,39,3,31
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_012.nd2,3,1,12,1,46
,,2,24,2,40
,,3,31,3,26
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_013_crop.nd2,3,2,19,1,9
,,3,19,2,18
,,,,3,24
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_015_crop.nd2,2,1,7,1,21
,,2,13,2,19
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_017.nd2,3,1,6,1,20
,,2,10,2,22
,,3,8,3,28
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_WT-A_NSW3016_488-LC3_594-LAMP_starved_60X_019.nd2,3,1,34,1,27
,,2,31,2,18
,,3,26,3,38
